"Judul","Deskripsi"
"Setup proyek React + Vite + TypeScript","Membuat proyek baru React 18 + Vite 5 + TypeScript (strict) dengan vite-plugin-singlefile, sehingga hasil build berupa satu berkas HTML mandiri. Menyiapkan script dev, build, dan typecheck."
"Konfigurasi parameter dashboard","Menyusun berkas konfigurasi publik (src/config/dashboard.ts): periode data, total acuan PRD (NWP 2025, NWP 2026, target 2026), pengelompokan channel Direct/Captive, taksonomi status prospek, batas waktu tindak lanjut, bobot status dan effort, serta ambang risiko."
"Lapisan data contoh ber-seed","Membangkitkan data contoh deterministik (3 Kantor Wilayah, 118 cabang, 744 MO, prospek, dan effort 30 hari) dengan PRNG ber-seed. Total nasional dijangkarkan ke angka PRD, nama cabang dan MO berupa kode, dan nama nasabah tidak dimasukkan ke model data (Aturan Emas)."
"Logika agregasi dan olahan data","Membuat perhitungan produksi per cakupan (laju per bulan vs tahun lalu, capaian target), prioritas tindak lanjut (skor status × premi × keterlambatan), kelompok jatuh tempo, proyeksi dari laju dan pipeline berbobot, ketergantungan orang kunci, MO perlu ditanyakan, dan peringkat kinerja unit."
"Mesin AI Insight berbasis aturan","Membuat mesin narasi deterministik (bukan LLM) yang menghasilkan hingga 7 temuan teratas, diurutkan menurut kegentingan (kritis, perhatian, informasi), dengan penanda sifat data (produksi atau simulasi)."
"Desain antarmuka sesuai referensi","Menerapkan desain dari gambar referensi: bingkai membulat, sidebar dengan menu aktif berbentuk pil hijau, topbar, dan kartu putih di atas panel abu. Termasuk tema terang/gelap manual serta syarat keterbacaan PRD (ukuran huruf, target klik minimal 38px, kontras)."
"Komponen grafik SVG","Membuat grafik tanpa pustaka eksternal: donut, batang bulanan dengan garis target dan tooltip, batang harian, dan batang mendatar. Palet warna seri divalidasi aman untuk buta warna di tema terang dan gelap."
"Halaman Ringkasan (Dashboard)","Menampilkan kartu produksi tahun berjalan dan capaian target, produksi bulan berjalan, jumlah perlu tindakan hari ini, komposisi channel Direct vs Captive, serta tren produksi bulanan 2026/2025."
"Halaman Perlu Tindakan","Menampilkan empat kelompok jatuh tempo (lewat, hari ini, 1–3 hari, 4–7 hari), tabel prioritas tindak lanjut, dan sebaran beban per unit di bawahnya."
"Halaman Proyeksi Pencapaian Target","Menampilkan dua perkiraan berdampingan (dari laju bulanan dan dari pipeline berbobot) yang sengaja tidak dijumlahkan, sumbangan tiap status prospek, dan kecukupan pipeline."
